ts,Open,High,Low,Close,Volume
2026-03-25,1222.7,1252.9,1219.0,1244.4,1466775.0
2026-03-27,1226.5,1249.2,1226.5,1242.3,2220695.0
2026-03-30,1231.2,1235.0,1215.0,1224.2,2089130.0
2026-04-01,1255.0,1257.0,1194.0,1195.9,2180444.0
2026-04-02,1190.0,1196.6,1165.7,1192.4,3128666.0
2026-04-06,1190.3,1206.0,1170.0,1200.9,2188849.0
2026-04-07,1195.0,1210.4,1185.4,1202.4,2046737.0
2026-04-08,1220.0,1223.0,1204.5,1215.9,2476674.0
2026-04-09,1215.2,1231.2,1213.1,1224.4,2545266.0
2026-04-10,1225.4,1239.0,1220.8,1229.5,2086385.0
2026-04-13,1222.3,1222.3,1203.2,1211.1,1611654.0
2026-04-15,1220.0,1228.7,1216.1,1227.0,1297882.0
2026-04-16,1231.0,1235.5,1222.8,1230.5,1778133.0
2026-04-17,1230.5,1244.5,1224.4,1240.8,2291092.0
2026-04-20,1245.0,1246.0,1226.0,1229.5,1158618.0
2026-04-21,1228.6,1236.4,1223.3,1232.5,1428292.0
2026-04-22,1226.0,1240.8,1222.0,1236.3,1172238.0
2026-04-23,1234.1,1308.4,1227.6,1305.9,5274028.0
2026-04-24,1295.0,1303.9,1254.1,1295.0,4427307.0
2026-04-27,1303.2,1320.7,1299.0,1317.2,1721187.0
2026-04-28,1316.0,1326.0,1296.3,1306.5,1501522.0
2026-04-29,1312.0,1322.0,1307.8,1317.6,986556.0
2026-04-30,1317.9,1329.8,1305.0,1309.6,1370336.0
2026-05-04,1320.0,1337.4,1313.6,1335.0,1088765.0
2026-05-05,1339.0,1339.4,1316.4,1333.7,1051020.0
2026-05-06,1340.0,1372.0,1333.1,1364.4,1854812.0
2026-05-07,1370.0,1379.5,1360.1,1362.3,1248019.0
2026-05-08,1355.0,1366.7,1341.3,1347.0,1044824.0
2026-05-11,1347.0,1350.0,1300.1,1304.9,1428197.0
2026-05-12,1304.6,1309.0,1289.0,1292.3,1398439.0
2026-05-13,1279.1,1356.6,1274.7,1327.6,6015153.0
2026-05-14,1362.2,1442.0,1362.2,1436.7,9166941.0
2026-05-15,1436.7,1444.5,1425.2,1432.1,1138894.0
2026-05-18,1422.0,1442.1,1411.8,1426.2,2013605.0
2026-05-19,1420.0,1426.6,1408.7,1409.8,1379218.0
2026-05-20,1392.3,1422.1,1392.3,1399.5,1316586.0
2026-05-21,1406.5,1415.9,1397.7,1401.9,1145360.0
2026-05-22,1409.0,1409.6,1392.0,1399.2,917323.0
2026-05-25,1406.0,1420.0,1398.5,1413.9,668915.0
2026-05-26,1413.9,1422.6,1409.6,1417.5,1132793.0
2026-05-27,1417.6,1432.0,1416.0,1418.2,937447.0
2026-05-29,1411.0,1429.2,1382.7,1401.0,9540984.0
2026-06-01,1410.0,1413.6,1386.0,1390.3,714608.0
2026-06-02,1380.0,1384.9,1358.2,1379.3,2290839.0
2026-06-03,1375.0,1384.9,1365.3,1375.2,1520395.0
2026-06-04,1365.0,1404.9,1354.0,1398.7,1548692.0
2026-06-05,1394.0,1406.1,1382.0,1401.3,1050391.0
2026-06-08,1397.0,1405.0,1383.0,1387.9,669481.0
2026-06-09,1383.1,1398.8,1373.6,1376.5,1419845.0
2026-06-10,1374.0,1391.4,1371.1,1377.0,962642.0
2026-06-11,1376.1,1391.0,1373.9,1383.3,654474.0
2026-06-12,1393.9,1396.1,1382.2,1389.4,805612.0
2026-06-15,1396.7,1397.9,1374.5,1381.3,1687655.0
2026-06-16,1382.6,1392.3,1366.0,1373.2,613961.0
2026-06-17,1380.0,1381.7,1341.1,1350.8,2014168.0
2026-06-18,1353.2,1365.0,1348.7,1355.5,908719.0
2026-06-19,1355.0,1362.3,1346.6,1351.8,1476650.0
2026-06-22,1372.0,1418.2,1370.6,1415.7,3368853.0
2026-06-23,1422.8,1461.0,1418.8,1433.1,4958067.0
2026-06-24,1445.7,1451.9,1425.7,1437.9,2145293.0
2026-06-25,1448.0,1453.0,1431.0,1440.1,1217683.0
2026-06-29,1443.7,1490.1,1441.5,1454.1,4162869.0
2026-06-30,1455.7,1480.8,1448.7,1465.4,2818077.0
2026-07-01,1468.0,1472.1,1446.0,1456.7,753439.0
2026-07-02,1465.4,1468.2,1452.7,1456.0,731416.0
2026-07-03,1452.0,1471.0,1452.0,1458.2,1261674.0
2026-07-06,1458.2,1474.7,1453.4,1472.3,769917.0
2026-07-07,1472.3,1482.0,1449.2,1451.8,1164880.0
2026-07-08,1453.3,1471.9,1428.9,1431.8,1163676.0
2026-07-09,1430.0,1454.8,1426.4,1441.3,947375.0
2026-07-10,1441.3,1454.5,1435.0,1439.4,745842.0
2026-07-13,1439.4,1443.0,1420.0,1426.7,844670.0
2026-07-14,1426.7,1454.5,1425.3,1438.1,1221695.0
2026-07-15,1447.0,1453.0,1433.0,1438.0,924453.0
2026-07-16,1439.9,1444.0,1426.6,1429.5,568731.0
2026-07-17,1429.5,1434.0,1404.0,1418.7,607055.0
2026-07-20,1425.7,1466.6,1419.5,1441.6,1494196.0
2026-07-21,1442.1,1443.9,1414.0,1432.5,1341452.0
2026-07-22,1423.0,1423.0,1395.7,1415.1,1722239.0
2026-07-23,1409.1,1426.9,1366.1,1393.0,4248433.0
2026-07-24,1390.1,1444.8,1390.1,1410.6,2917791.0
2026-07-27,1412.6,1418.1,1392.8,1409.4,1162030.0
2026-07-28,1426.7,1447.8,1426.7,1444.6,1621735.0
2026-07-29,1451.0,1491.2,1442.0,1474.3,2192262.0
2026-07-30,1478.8,1483.8,1464.1,1466.4,833068.0
2026-07-31,1473.4,1478.8,1462.3,1473.2,1223370.0
2026-08-03,1475.0,1480.6,1454.3,1474.4,811745.0
2026-08-04,1469.6,1469.6,1449.3,1451.6,913504.0
